"plot_names","words"
"sin_fr_partial","accomplished, accomplishment, adult, ajustments, ascending, average, bad, balanced, better, blessed, bloom, challenges, change, comeback, complete, correction, delayed, dip, disappointments, drop, egoist, enthucism, excellent, existence, expected, family, finally, fluid, fortunate, freeing, good, growing, growth, happiness, happy, hard, hopefull, improving, interesting, late, learned, learning, learnong, lucky, meaningful, more, natural, nice, nonsensical, normal, ok, overachieving, pain, peace, peaceful, persistence, pleasant, pleasing, positive, reasonable, rebirth, reborn, rebound, rebounding, rebuilding, recover, recovered, redeemed, redemption, redemptive, relaxed, revealed, risen, rising, rollercoaster, sad, slow, smooth, somewhat, spiritual, stressful, strong, swoop, terrific, tough, turnaround, unstable, uphill, uplifted, uplifting, utility, visionary, wisdom, wise, work, worsening"
"sin_rf_full","almost, alright, average, balanced, basic, bell, bittersweet, bottom, burnedout, busy, calm, chaotic, complete, crashed, crescendo, curve, decent, dependent, depression, difficult, downhill, dropped, dynamic, emotional, enjoying, even, existence, expectations, extreme, failure, fair, family, favour, fleeting, fulfilled, fulfilling, full, fun, good, granted, gratifying, happiness, happy, hard, highlight, hill, hills, humbling, indulgent, interesting, involved, lacking, lonely, loss, lost, meaningful, medium, miserable, misfortune, monumental, mountain, neutral, normal, not, nugatory, omniscient, once, peak, peaked, peaking, precipice, predictable, purposeful, reasonable, reverse, sad, shallow, sorrowful, standard, steady, summit, symmetrical, tiring, tough, tragedy, tragic, typical, up, usual, wasted, worthy, zenith"
"sin_rf_partial","acceptable, addicted, average, bachelor, beneficial, calm, careless, choice, content, controlled, crisis, decaying, decline, declining, dejected, depression, descent, devastating, disappointing, disappointment, disparity, disproportionate, dissolving, down, downer, downhill, downturn, dropping, early, easing, empty, fading, failure, fair, fall, falling, fun, good, happiness, happy, hill, humbling, imbalance, improving, learning, loss, lowpoint, neutral, normal, not, ok, omnipresent, peaked, persist, positive, powerful, punished, quitter, regrettable, rough, sad, sadder, seized, shallow, slide, steady, strange, stressful, swingy, tough, trivial, unable, unhappy, unhealthy, unlucky, unpleasant, woman, worse, worthless, youthoriented"
"sin_rfr_full","acceptable, acceptance, adventurous, adversities, allover, artificial, athlete, average, bad, balanced, boomerang, broad, bumpy, challenging, change, changing, chaotic, complicated, concise, cool, crazy, cyclical, decent, difficult, diseased, diverse, dynamic, egoist, emotional, enjoyment, enlightenment, eventful, exciting, experience, experienced, extreme, flowing, fun, good, happiness, happy, hard, hectic, highlow, hope, imbalance, improving, inconsistent, interested, learning, life, messy, multilevel, neutral, normal, okay, overcoming, phase, phased, recovered, recovery, resourceful, restored, rocky, rollercoaster, seesaw, shaky, sharp, sinusoidal, sporadic, sporatic, stoic, successful, tumultuous, turbulent, turmoil, unbalanced, uneven, unpleasant, unpredicatable, unpredictable, unsteady, variable, varied, very, volatile, volitile, waved, wavy, wild"
"sin_rfr_partial","allover, alright, alzheimers, autodidactic, balanced, bouncing, bumpy, burdened, casual, changing, chaos, chaotic, collapse, complicated, confused, conquest, cool, credulous, crisis, discontent, dynamic, effort, emotional, erratic, eventful, exciting, existence, extreme, fair, fighter, fluctuating, foreward, fulfilling, full, glad, go, good, great, happiness, happy, highpoint, improving, inconsistent, insubstantial, joyful, jumpy, later, learning, lousy, messy, neutral, normal, overcome, overcoming, painful, peaks, phased, priorities, rapid, rebound, recovered, resilient, resurgence, return, rocky, rollercoaster, rough, sad, satisfying, searching, seesaw, shaky, soaring, sporadic, stretching, stumbled, surprise, timely, traumatic, tried, tumultuous, turbulent, uneven, unpredictable, unstable, upswing, upwards, usual, valley, varied, variety, volatile, wave, waves, wavy, wild, work, worst"
"sin_frf_full","allover, anxiety, average, bipolar, bp, bumpy, busy, calm, change, changes, changing, chaotic, complex, complicated, crazy, cyclical, decline, depression, depth, determined, dramatic, dynamic, egoist, emotional, erratic, eventful, family, fluctuating, good, growth, hapiness, happiness, happy, hectic, hopeful, impressive, inconsistent, lonely, loss, lucky, madness, manic, messy, middle, normal, okay, oscillating, oscillation, pessimistic, phased, regret, rollercoaster, routine, seesaw, special, sporadic, sporatic, succinct, surge, sweeping, terrible, troubled, tumultuous, turbulence, turbulent, typical, uncertain, uncontrollable, undecided, uneven, unfulfilled, unique, unpleasant, unpredictable, unstable, unsteady, up, updown, variable, varied, varying, volatile, wave, wavering, wavy, weird, wild, worthwhile"
"sin_frf_partial","allover, average, bad, bittersweet, bumpy, busy, calm, center, challenge, change, changeable, changes, chaotic, coaster, cope, curvy, dad, decline, declining, defeated, depressed, depressing, down, driven, dynamic, effort, emotional, energetic, eventful, extreme, failed, family, familyoriented, fine, fulfilling, good, growing, happiness, happy, hectic, hilly, honorable, imbalance, impactful, inane, inconsistent, invested, joyous, lacking, lonely, malaise, manic, meaningful, medkiocre, mountain, neutral, nice, normal, nostalgic, odd, okay, omnipresent, opportunist, patchy, peaceful, peak, peaked, peaker, polarizing, practical, resignation, rocky, rollercoaster, simple, smooth, spiral, steady, stressful, stumbled, tumultuous, typical, unbalanced, unbalenced, unfortunate, unhappy, unlucky, unpredictable, unsettled, unstable, unsteady, usual, variable, very, volatile, wave, wavy"
"sin_frfr","adjusting, allover, anxious, artificial, average, bad, balanced, bipolar, bumpy, changing, chaos, chaotic, climactic, comfortable, compelling, complex, contrast, crazy, cyclical, dedicated, determined, dramatic, dynamic, egoist, emotional, engaged, episodic, erratic, eventful, everchanging, experienced, extreme, flowing, frenzied, gainful, gift, good, gyrating, happiness, imbalance, inconsistent, insecure, lessons, mixed, moderate, moody, neutral, none, normal, not, obey, parabolic, parent, progress, recovered, resilient, rewarding, rocky, rollercoaster, rolling, rounded, satisfy, schizoid, slopes, sporadic, sporatic, struggle, stumbled, transition, transitional, tumultuous, turbulant, turbulent, uneven, unpredictable, unstable, vacillation, variable, very, volitaile, wave, wavering, wavy, wild, worthwhile"
"sin_rfrf","allover, average, bad, bipolar, bumpy, busy, change, changing, chaos, chaotic, complicated, confusion, crazy, deppresed, disappointing, dynamic, emotional, episodic, erratic, evolving, exciting, experience, experienced, fustian, good, happiness, hesitant, horrible, inconsistent, journey, learning, like, lively, lonley, manic, mixed, neutral, nice, none, normal, nostalgic, not, okay, oscillating, perplexing, pesimist, phased, polarized, predictable, rapid, resilient, rocky, rollercoaster, rough, sad, sisyphean, sporadic, sporatic, stress, struggle, stumbled, tiring, tumultuous, turbulant, turbulence, turbulent, uncontrolled, uneasy, unfruitful, unlucky, unplanned, unpredictable, unstable, unsustained, varying, volatile, wave, wavy, wild, worst"
"logistic_rise","abrupt, achieving, ascended, ascent, average, awakened, bad, better, blessed, bloomer, breakthrough, carefree, challenging, changed, changing, chemical, climb, climbing, comeback, complete, confident, content, cool, decent, delayed, divergent, elevated, endgame, enlightened, epiphany, excellent, experienced, extreme, family, finally, flipped, free, fulfilled, fun, golden, good, great, growth, halfgood, happiness, happy, hard, impassive, inconsistent, increasing, interesting, jackpot, late, latebloomer, low, lucky, median, miraculous, mirrored, neutral, okay, peaceful, persistent, planned, plateau, plateud, prosperous, purposeful, regretful, rewarded, rise, rising, rocket, rocketed, rocketing, sad, satisfied, sharp, simple, slowstart, spike, spin, steady, stressed, strong, success, successful, sudden, surprise, surprising, switch, thankfullness, torn, trials, triumph, turnkey, unexpected, unrewarding, uphill, uplifted, uplifting, weird, winner, work"
"logistic_fall","bad, bankrupt, best, bipolar, bleak, calm, casual, challenging, chaotic, cliff, collapse, collapsed, collapsing, crash, crisis, dead, decent, declined, defeat, defeated, depressed, depressing, dignity, disappointing, disaster, doomed, down, downfall, downhill, downshift, downturn, dramatic, dread, drop, dropping, enjoyed, erratic, eventful, failure, fair, fall, fallen, falling, flipped, gloomy, good, halved, happiness, hard, heartbreaking, horrible, horrifying, incarcerated, inconsistent, lost, meaningless, mediocre, medium, miserable, normal, nosedive, painful, pitiful, plentiful, plummet, plummeting, precipitous, regretful, rough, sad, sadness, shallow, shattering, simple, somber, somewhat, somniloquist, steep, stressfull, stunted, sudden, suddentragedy, superficial, surrender, terrible, tragedy, tragic, unfortunate, unfulfilled, unimportant, unsure, worse, worst, youthoriented"
"positive_change_full","accomplished, average, bad, balanced, bipolar, bittersweet, bottom, bounce, calm, challenging, changing, chaotic, comeback, crazy, deceasing, decent, decline, declined, declining, depressing, disaster, diseased, drastic, drop, emotional, epiphany, even, extreme, falling, family, fighter, found, gentle, good, grateful, grieved, growth, happiness, happy, hard, hectic, highly, hope, improvement, inconsistent, intense, interesting, issues, it, lapsed, late, latebloomer, learner, lowpoint, meaningful, misguided, moderate, neutral, nice, normal, ongoing, overcoming, persistence, phoenix, plummeting, preservered, purposeless, rebound, rebounding, recover, recovering, recovery, resourceful, resurgence, retirement, revelation, rough, sad, saddist, sharp, sick, simple, sleepiness, sluggish, soulsucking, suboptimal, sudden, surging, surprise, terrible, touchiness, tough, tragedy, transcendet, trapped, turnaround, turned, unexpected, unfortunate, v, valley, weak, wisdom, work, worsening"
"positive_change_partial","alzheimers, anxious, average, bad, bounce, bounced, burdensome, calm, catastrophic, challenging, comeback, comfortable, complicated, crashing, decline, declined, declining, degenerating, delayed, depressed, depressing, depression, descent, determined, difficult, disappointing, downhill, drifting, fair, finally, fluctuating, frustrated, good, happiness, happy, hard, improving, incident, increasing, intelligible, journey, joyful, lacking, late, lately, lowpoint, lucky, meaningless, none, normal, not, omnipotent, overcoming, partially, peaceful, perservering, persue, pessimistic, plummet, pounce, realization, realized, reborn, rebound, recouperated, recovering, redeemed, redemptive, respite, rockbottom, rough, sad, satisfaction, sick, slingshot, slow, sorrow, stress, tiring, troubled, turnaround, turned, typical, uncheck, uneasy, unfotunate, unhappy, unpredictable, unstress, upward, wavy, weird, working, worst, worth"
"negative_change_full","angled, average, bad, bloomer, boring, bottom, busy, calm, career, changed, cliff, climber, collapse, complete, complicated, continous, cool, crashing, crisis, crushed, decent, decline, defeat, depressing, disappointing, downfall, downhill, drastic, experienced, explicit, extreme, failed, failure, fall, fleeting, fulfilled, full, fun, good, happiness, happy, hard, hindered, humbling, illness, imbalance, impossible, interesting, lived, loss, lost, meaningless, mediocre, medium, mixed, mountain, neutral, normal, optimistic, peak, peaked, pivot, play, plummet, plunged, point, positive, progressive, regret, responsible, rising, rollercoaster, severe, sharp, sick, simple, sorrow, soso, steady, steep, stress, stricken, stumble, surprise, surprising, tragedy, tragic, traumatic, triangular, troubling, turning, unexpected, unlucky, unsatisfactory, usual, welllived, workhorse, worthwhile"
"negative_change_partial","abrupt, achievement, almost, alone, amazing, attractive, average, bent, calamity, calm, cancerous, cliffdive, contentment, conventional, crashing, cresting, decent, declining, decrease, definite, dive, drastic, early, eloquent, enjoyable, exciting, expected, falling, family, fine, fulfilling, good, great, growth, happiness, happy, high, impactful, improving, inclining, joy, late, learning, loss, loved, mountain, movie, normal, okay, omniscient, painful, peak, peaked, peaking, pleasant, predictable, programmed, progress, reality, reminiscent, rich, rocky, sad, satisfactory, satisfied, satisfying, setback, stamina, standard, steady, straightforward, surprise, swinger, tired, troubled, trying, tumultuous, turn, turned, uneven, unlucky, unplanned, unstable, upward, very, wealthy"
"linear_rise_sharp_fall","aborted, abrupt, adversity, almost, average, awful, bad, bankruptcy, betrayed, boring, broken, career, catastrophe, challenged, cliff, crash, crashing, crippled, dashed, dead, deadlined, debilitating, depressed, depressing, descent, desparate, disappointing, disastrerous, distressed, dont, downtrodden, downward, dramatic, empty, failure, fakeout, fruitless, frustration, hapiness, happiness, hard, introvent, leveled, lonely, low, mediocre, miserable, misleading, missing, mistakes, morbid, neutral, nice, normal, pathetic, poor, problematic, prompt, rough, sad, sadness, slight, sorry, stagnant, stalled, struggle, stunted, sudden, surprise, terrible, tough, tragic, troubled, trying, unable, undecided, unfortunate, unfulfilled, unhappy, unstable, unsuccessful, very, wasteful, weird, worse, worst, young, zigzag"
"linear_rise_sharp_fall_exp_rise","average, bad, bizarre, brave, breaking, bumpy, busy, calm, challenging, changed, changing, chaptered, complete, controlled, corrected, crazy, crisis, decent, deep, determined, diseased, doiscoverty, dramatic, emotional, eventful, excited, existence, family, fight, golden, good, great, growth, happiness, happy, historic, hope, hopeful, impacted, improving, intense, intermediate, jumbled, late, latebloomer, learner, meaningful, moderate, motivated, nice, obstacle, okay, old, overcoming, painful, peaked, perseverance, pesimist, pleasant, preservered, progress, purposeful, rational, rebounding, rebuild, recalibrated, recovered, recovering, recovery, reset, resilient, resolute, restart, rough, sad, satisfy, sawtooth, scary, scattered, setback, setbacks, sharp, strange, stress, strong, successful, sudden, the, tragedy, tragic, turbulent, undecided, unfulfilled, unhappy, unique, unpredictable, up, upswing, vacant, wavy, wild, wildcard, wisdom"
